Name_Category,ESM356_H_1_1,ESM356_H_1_2,ESM356_H_2_1,ESM356_H_2_2,ESM356_H_3_1,ESM356_H_3_2,ESM356_D_1_1,ESM356_D_1_2,ESM356_D_2_1,ESM356_D_2_2,ESM356_D_3_1,ESM356_D_3_2,CDC48_H_1_1,CDC48_H_1_2,CDC48_H_2_1,CDC48_H_2_2,CDC48_H_3_1,CDC48_H_3_2,CDC48_D_1_1,CDC48_D_1_2,CDC48_D_2_1,CDC48_D_2_2,CDC48_D_3_1,CDC48_D_3_2
YLR172C,9243.867,9428.16,6101.463,9065.166,7587.2466,8980.119,5302.6094,8938.273,5935.6772,8850.714,5760.0415,8619.348,8801.274,13219.541,11567.021,12587.409,10706.596,13110.623,7419.53,10661.363,11147.936,11110.241,9890.386,12753.232
YHR135C,6438.765,7238.729,3640.5518,7862.627,5283.0176,6989.9346,4928.5815,7681.9775,4244.7153,6963.3145,5135.3247,6959.383,7926.217,10595.018,10120.253,10682.076,9467.432,10616.424,7487.159,8691.212,7011.1865,8979.389,8517.858,9091.961
YMR009W,2607.1323,2972.8916,2360.9087,3166.6934,1979.523,3177.1353,2377.2627,3184.278,1455.4248,3162.5679,1424.8093,2842.291,4315.7627,4906.8267,3529.3225,3776.9336,3861.7603,4449.415,3026.8804,3651.101,3392.7969,3906.0908,3496.6465,4225.168
YML103C,3330.2542,3749.6177,3138.2676,3948.9575,3264.9702,3969.582,2643.9385,4184.4224,2707.0374,4009.2964,3473.957,3903.3896,4868.768,5806.5703,4166.462,5690.044,5156.709,5617.7285,3803.6436,5071.235,3405.3452,4860.145,4007.9133,5288.4717
YDR101C,4236.4844,5574.393,4028.895,5261.164,3976.6414,5320.046,3567.1516,5312.381,3550.605,4981.0645,3407.6675,4652.6865,5762.437,6661.2676,5211.746,6376.988,6285.0396,6674.1973,4915.303,5752.7773,4655.862,6465.8755,6195.133,6556.423
YMR067C,4776.4404,6055.419,4212.784,5507.856,4099.327,5354.864,4020.1096,6157.425,4196.3853,5717.8345,3989.1555,5432.6533,7479.1963,7122.9604,7383.581,7532.237,7129.879,7780.806,5604.0186,6546.803,5985.9434,6573.2173,6299.668,6478.2734
YKR068C,5245.324,5876.702,4340.0864,5359.054,4825.7773,5702.084,2681.7874,4570.1895,4444.7344,5715.4385,4659.087,5334.768,7229.188,7865.102,6577.8555,7192.242,6347.8047,6824.9043,4882.4653,5348.5776,4886.0864,6211.3936,5206.924,6869.0215
YEL015W,3314.2454,3947.9185,2894.1292,3744.78,2961.1455,3512.6694,2013.217,3323.6023,2604.9465,3489.4731,2469.0496,3231.873,4483.0176,5153.477,4470.492,4274.801,4170.8164,4601.2344,3260.0757,3891.865,3589.9243,4146.0103,4020.1755,4542.9385
YHR121W,3123.1191,3251.418,2709.916,3658.4487,3051.7148,3364.0657,2188.4968,3849.1143,2822.5376,2834.6853,3090.782,3789.6406,5131.7656,5344.948,4160.627,4693.514,4322.6704,4604.509,4057.228,4225.1772,3774.3574,3976.2803,4376.41,4547.5977
YLR216C,55724.47,63559.723,56195.055,63864.51,53291.324,77354.26,52004.91,60636.52,49489.33,60801.953,49325.58,61282.203,79567.55,95174.16,90528.89,86133.36,73566.516,83677.85,63714.805,69662.72,62782.926,74601.95,68188.83,79101.31
