Name_Category,SK1_D_1_1,SK1_D_1_2,SK1_D_2_1,SK1_D_2_2,SK1_D_3_1,SK1_D_3_2,SK1_H_1_1,SK1_H_1_2,SK1_H_2_1,SK1_H_2_2,SK1_H_3_1,SK1_H_3_2,bPAC_D_1_1,bPAC_D_1_2,bPAC_D_2_1,bPAC_D_2_2,bPAC_D_3_1,bPAC_D_3_2,bPAC_H_1_1,bPAC_H_1_2,bPAC_H_2_1,bPAC_H_2_2,bPAC_H_3_1,bPAC_H_3_2
YDL085W_SK1,11624.74,14580.651,12792.906,17307.3,19773.262,15328.287,15304.194,12991.6875,13274.913,14850.916,15204.633,15029.148,18991.887,21233.852,20831.86,16550.54,20574.662,20024.912,11425.978,7976.5396,8515.723,7993.7656,8444.723,6220.787
YIL087C_SK1,10019.6455,7863.6016,12679.781,7488.7827,11591.526,9523.098,9499.648,11148.174,14722.517,9628.162,8816.25,10727.223,15067.236,14135.722,15905.473,14473.928,21410.223,8675.973,9476.535,1255.3127,10402.001,6447.5835,6468.9385,4283.937
YMR175W_SK1,120394.21,130933.555,135577.44,142453.6,106628.66,110498.016,114371.914,101000.1,167648.75,124861.09,73056.54,64850.58,217830.94,173414.22,192794.38,143970.12,175066.62,121561.09,49247.53,32094.127,57823.082,35812.15,55257.68,34748.863
YPL186C_SK1,19812.307,19333.965,21937.916,18773.81,21898.48,19260.863,19357.14,16104.66,20736.467,19214.527,18190.037,17817.479,36465.383,33990.527,38045.203,28623.037,39923.49,33620.727,11582.384,7839.109,13247.208,8053.15,8477.182,7589.1274
YMR107W_SK1,14949.954,16194.143,15097.421,16984.424,15405.834,14948.336,13041.396,14533.855,15396.582,16260.29,13168.237,13599.289,28811.924,30041.342,27238.734,26449.023,26829.5,28191.887,9196.12,9312.195,8078.6357,8609.348,8684.006,8418.467
YEL011W_SK1,53610.74,50022.695,57832.31,55665.42,59597.305,52863.21,51325.832,42506.094,54705.184,49160.746,52694.137,49584.61,95592.44,98016.19,106182.63,92697.36,102933.91,87063.34,42871.383,34352.723,41897.742,36594.504,36963.54,34717.344
YDL222C_SK1,119860.78,114204.74,130133.516,113218.55,103072.414,110610.59,121991.09,105157.92,123402.125,117414.42,134780.97,114729.57,155256.34,159343.89,188026.5,109002.016,175604.61,140169.92,70005.47,94499.484,89890.78,85972.516,82562.875,85888.055
YDR168W_SK1,81490.49,66245.06,82599.92,66766.125,80605.05,75999.45,72074.89,68194.34,72228.93,70945.49,74828.82,70262.55,105223.805,102950.984,118931.97,96905.72,123403.68,91865.46,73110.1,64238.734,73221.85,67516.125,65543.21,63321.164
YMR110C_SK1,34099.43,31980.445,37569.82,29022.152,38334.406,30994.383,31187.002,25002.742,30032.414,28018.678,30021.203,27214.656,51241.3,47299.04,54327.484,45751.27,53245.773,44156.914,34066.418,24998.682,32574.71,28000.762,30041.512,25957.83
YHR008C_SK1,207580.1,218411.84,217260.8,211170.67,187904.14,192922.56,202897.34,199676.1,225625.75,209690.73,192236.69,195231.14,318248.78,277865.34,301515.6,271205.97,294673,270229.25,205756.77,184743.75,145019.1,174779.62,221924.89,166346.11
