Name_Category,ESM356Leu_D_1_1,ESM356Leu_D_1_2,ESM356Leu_D_2_1,ESM356Leu_D_2_2,ESM356Leu_D_3_1,ESM356Leu_D_3_2,ESM356Leu_H_1_1,ESM356Leu_H_1_2,ESM356Leu_H_2_1,ESM356Leu_H_2_2,ESM356Leu_H_3_1,ESM356Leu_H_3_2,Clb2_D_1_1,Clb2_D_1_2,Clb2_D_2_1,Clb2_D_2_2,Clb2_D_3_1,Clb2_D_3_2,Clb2_H_1_1,Clb2_H_1_2,Clb2_H_2_1,Clb2_H_2_2,Clb2_H_3_1,Clb2_H_3_2
YNR008W,10767.587,2943.8408,11216.27,8860.19,9781.61,8652.825,11020.39,9046.283,9789.593,2690.1357,9054.189,8543.721,9446.859,8372.977,17214.46,8657.292,2616.7124,10021.777,21517.074,9060.347,9112.056,7867.31,13766.714,9500.004
YLR397C,2586.7617,1514.1265,2924.3384,3326.1785,1802.7861,2272.9453,2107.184,2592.4707,1761.0242,2431.2114,1610.5435,2817.1343,4300.419,2019.8884,4019.2808,2406.5642,1555.5784,2186.7695,3485.516,2463.1157,2381.6528,2045.5217,3163.6294,2623.3704
YHR112C,23130.734,22713.182,23378.799,23414.791,10582.439,25342.992,10187.977,25273.77,27743.262,11230.217,26572.455,26734.703,27001.605,11102.822,27329.979,28653.824,26227.69,26342.293,26830.283,10014.885,27965.395,29599.592,31560.549,12203.042
YPL211W,3925.8745,3401.3662,4551.6006,4423.6763,3033.237,3059.9937,2402.5146,3364.137,4716.4873,1960.0825,5533.624,3735.0537,5389.7373,3890.0132,6524.2925,4780.829,4952.331,3415.815,5114.731,4453.251,3330.6592,4237.211,6170.3994,4777.5137
YER010C,6276.637,7520.2407,6861.965,8157.644,7730.927,5940.753,6232.872,5544.6543,9399.739,5484.956,6756.2183,6541.1914,8238.532,6557.525,8738.749,9274.281,8412.848,8704.444,11163.951,6673.9214,11573.845,9014.205,9889.07,6895.508
YBR155W,3613.4646,5236.148,4202.331,4288.39,5322.068,3921.6436,3779.5952,4772.325,8267.197,5376.9243,5844.007,5377.6924,4747.089,4184.788,9054.964,4356.9653,4414.9805,4438.819,5345.7383,5080.581,6910.3184,4834.9404,5706.6113,5301.622
YDL171C,5684.922,10710.054,11861.988,5147.1587,6603.71,12557.744,7211.8203,11835.64,14501.463,6858.075,14967.416,13340.913,8012.163,14692.867,14308.523,9971.425,13168.027,14106.758,14950.29,6482.2524,15101.374,9746.73,8804.763,16152.835
YER168C,5140.166,3020.3103,3566.0742,3082.1772,3594.1187,4935.9565,3443.0647,2516.9136,4414.9067,3547.4617,2678.7517,3559.0925,4976.942,2887.663,3864.4111,2963.2942,3892.9968,3414.0427,3532.7402,3798.0005,3950.0015,3329.1257,4105.118,2806.7495
YGR231C,36877.125,23463.104,37608.47,20119.664,38855.918,30439.41,33683.04,27699.82,38469.33,32320.057,29887.822,32833.273,35689.758,21125.922,30569.781,34072.477,34113.5,21531.287,30632.723,37166.43,29775.922,36790.695,33318.203,28621.84
YOR336W,7578.406,3312.5703,6908.324,3538.3755,6767.5273,5662.077,6000.6816,5183.8223,6673.5283,3726.62,5117.3813,3576.0261,5332.6763,4148.241,6568.006,3050.277,6417.299,3017.5508,5610.7505,3284.0977,7538.056,4398.8296,3273.2876,5610.4097
YJL061W,10229.82,4827.299,10984.672,4865.926,4713.3037,11248.462,11143.452,12392.643,12832.079,5078.59,10636.175,5654.095,11413.4375,5738.5293,10472.111,4324.102,10436.494,4674.5923,5005.3574,4799.581,11520.299,4588.3237,5771.574,7586.4346
YNL102W,6189.296,5119.9673,5461.57,3256.9478,6441.815,5801.266,4314.292,8285.508,2167.66,447.26877,6514.057,4033.9358,6013.9736,2527.4954,6051.2725,2441.4792,5154.725,3006.9,5370.09,3064.1084,5579.675,1010.83435,5869.185,7006.9766
YNL163C,86372.016,74268.305,5270.1074,73664.88,90975.266,79959.836,81358.5,73541.914,91351.73,7586.247,65051.777,77460.5,90415.71,6519.098,89081.664,6693.586,89580.26,78333.07,86240.76,6058.6367,88591.95,82042.03,62959.652,87066.49
YDL126C,277351.25,275335.9,132943.52,140909.6,278466.56,274754.38,335321.47,309080.56,262104.62,123870.94,307820.12,301131.53,300942.22,138049.62,326343.75,159485.22,282057.97,306700.94,275040.88,145048.12,328569.8,348916.8,297138.38,212748.03
